"rank","slug","source","n_jobs","top_titles","sample_description"
"1143","jie-business-sdn-bhd-formerly-known-as-oppo-electronics-sdn-bhd","jobstreet","10","Data Analysis Officer / Executive | Product Trainer (Fresh graduates are welcome!) | E-Commerce Executive | Quality Assurance & Customer Support | Management Trainee (18-month programme)","[Category: Accounting / Accounts Payable] Job Summary: Keep track of all the payments, including purchase orders and invoices as well as assist in preparing monthly report. Job Descriptions: Perform accounting duties such as bank reconciliation, account payable, invoicing, data entry, etc. Sort, index and scan documents Manage daily invoices and claims Manage documents in accordance Identify, docu"
"1144","johnsonville","linkedin","10","Semi-Finished Goods Planner | 2nd Shift Material Handler | 2nd Shift Finished Goods Front-Line Supervisor | Production Harvest Manager | Production Manager - 2nd Shift","At Johnsonville, we use our business to build our people. If you're passionate about making a difference, we want you to help make our products, our processes, our communities and each other better. Wisconsin-based Johnsonville is the No. 1 national sausage brand enjoyed in 45 countries. Founded in 1945 by the late Ralph F. and Alice Stayer, our company is 2,000 members strong and remains privatel"
"1145","kanika-malaysia-sdn-bhd","jobstreet","10","Purchasing & Shipping Manager/Executive (Japanese Food) | HR & Admin Manager | Warehouse Executive | Marketing Assistant / Executive | Purchasing & Shipping Assistant / Executive","[Category: Human Resources & Recruitment / Remuneration & Benefits] We're looking for a passionate individual with experience in HR, particularly in high-growth fast-paced environments. As a key contributor, you'll oversee HR and Admin functions, including talent acquisition, interviews, employee relations, and organizational development. Strong problem-solving skills will be crucial. Proficiency "
"1146","kimberly-clark","linkedin","10","Lead Scientist - Material | Industrial Controls Electrician | Asset Team Leader | Adult and Feminine Care Brand Growth & Innovation Leader | Senior Engineer - Projects","Job Description Order Processor As a person, you’re a learner – a natural leader – someone who is always taking initiative to make things better and bring others along with you. You live your life in alignment with the highest values of integrity and quality, always ensuring your responsibilities become a long-term success story. In this role, you’ll help us deliver better care for billions of peo"
"1147","kinder-morgan-inc","linkedin","10","Operator - Dakota Bulk | Engineer - Business Development CO2 CCS/CCUS | Specialist - Building Tech (Houston, TX) | Inspector | Renewable Natural Gas (RNG) Plant Operator Twin Bridges","Position Description Operates heavy equipment to gouge out, level, and distribute petroleum coke from inbound conveyors, storage and to outbound conveyors in Primary Purpose Kinder Morgan is the largest independent terminal operator in North America, providing a strong, reliable network of 144 terminals serving our customers’ storage, distribution, blending and logistical needs. Our terminals stor"
"1148","kl-kepong-oleomas-sdn-bhd","jobstreet","10","SENIOR EXECUTIVE, HUMAN RESOURCES (HRBP) | Lab Technician | PROCESS ENGINEER | Mechanical Engineer | Planning Assistant","[Category: Construction / Health, Safety & Environment] Support Safety & Health Officer (SHO) and team with the planning, coordinating and implementing of effective SSHE Policies, guidelines and procedures to ensure that the SSHE Objectives are met. Provide support to Operation and Project team in all aspects of safety, occupational health, safety and environmental issues. Executing and facilitati"
"1149","knowunity","ashby","10","Working Student - Finance (m/f/d) | Engineering Intern | CEO Office Intern - Special Projects Intern | Don't see your dream role? Convince us to create it. | Product Designer","THE OPPORTUNITY We’re building the future of learning: a world where every student on the planet can access, enjoy, and benefit from world-class education. And we’re on a mission to create the first AI learning unicorn to make it happen. Millions of students already use our personalised AI learning companion daily & we just raised €27m to capture the AI learning market at an inflection point, fina"
"1150","kobay-technology-bhd","jobstreet","10","Metrology Engineer | Costing Senior Executive | Account Executive | Internship for HR | QA Engineer","[Category: Manufacturing, Transport & Logistics / Purchasing, Procurement & Inventory] Responsibilities: Work with Engineering on New Product Development to ensure the integrity and clarity of engineering drawing requirements and that all expectations are communicated effectively to supporting suppliers Interact with Engineering teams to ensure suppliers are involved in development and review of s"
"1151","kuok-singapore-limited-group","jobstreet","10","Accounts Officer | Data Centre Specialist (Malaysia) | Robotic Process Automation (RPA) Engineer | Commissioning Manager (Based at Sedenak,Johor, Malaysia) | Accounts Executive (Treasury)","[Category: Real Estate & Property / Body Corporate & Facilities Management] This position is for K2 Data Centres, a company under Kuok Group, based in Malaysia. Purpose of the Role: To provide leadership and management support of an operational Critical environment shift team providing 24/7/365 on-site support of a production data centre facility. The Facility Lead is responsible for the emergency"
"1152","kyndryl","linkedin","10","Director, Alliances Business Development (AI/GenAI) | Cross Portfolio Program Manager | ServiceNow Sales Business Development | Security Consultant | Cloud Security Consultant","Who We Are At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward – always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our employees, our customers and our communities. The Role At Kyndryl, our Security Consultants are game-"
"1153","labatt-food-service","linkedin","10","Outside Sales Representative | Network Engineer | Food Service Sales Representative | Customer Service Representative | Inside Sales Representative","Labatt Food Service is seeking a Bid Analyst. This position is responsible for capturing and maintaining multi-million dollar bid contracts with school districts and government agencies. It encompasses all aspects of distribution systems, including price negotiations with manufacturers, contract pricing management, demand forecasting, pricing analysis, and direct correspondence with customers and "
"1154","latitude-legal","linkedin","10","Counsel, Institutional Commercial Contracting | Litigation Attorney (Contract and Remote) | California Licensed Litigation Attorney (Completely Remote) | Employment Litigation Attorney (Completely Remote Opportunity) | Labor & Employment Litigation Attorney (Completely Remote)","Latitude is seeking a medical malpractice defense attorney with 3+ years of experience to work on an engagement with a highly regarded Indianapolis law firm. The work can be fully remote. The successful candidate should have strong research skills and be experienced in motion practice, discovery, deposition taking and brief writing. Attorneys can work part-time or full-time hours. Requirements for"
"1155","lazada-malaysia","jobstreet","10","Associate, Supply Chain - Overseas Market | Intern, Product Compliance-Kuala Lumpur | Business Risk Manager-AML & KYC-Malaysia | Senior Associate / Manager, Product Compliance-Malaysia | Hub Supervisor","[Category: Marketing & Communications / Product Management & Development] Job Description Team and Role Introduction: In this role of Senior Associate, Payment Strategy and Operations, you will be challenged to envision and execute on an experience that realizes our vision of Wallet delivering the best payment experiences for all. As a member of this team, you will develop and execute on the visio"
"1156","lazydays","linkedin","10","National Technician Recruiter | Senior HRIS Analyst | Service Detailer | Estimator | RV Salesperson - Open Interview Day!","Essential Job Functions Hand out stock parts to technicians. Locate non-stock parts locally for technicians. Attend all company required meetings Additional responsibilities as requested or required Qualifications/Experience/Proficiency Standards Ability to read, write, and comprehend English Working knowledge of current computer system Good communication skills Physical Requirements Availability "
"1157","leadx-pro","ashby","10","Affiliate Manager | Head of LeadGen | Unsolicited Application | Media Buyer Meta Specialist | Sales Affiliate Manager","LeadX Pro is an elite club of multi vertical media buyers within ecommerce, leadgen, igaming, nutra, and dating. Being a team of dedicated professionals who thrive on delivering exceptional results for our clients, we set the tone and are at the forefront of innovation in media buying. The team are – highly trained, proactive and international – and the media buying department are capable of creat"
"1158","leaflink","greenhouse","10","Account Executive, Banking | Account Executive (Remote) | IT Manager | Manager, Content Marketing | Senior Backend Engineer II","About LeafLink LeafLink is the largest unified B2B cannabis platform, providing licensed cannabis businesses a suite of tools to manage their business more effectively, sell or order from their favorite brands and accelerate growth. We are one platform, one solution and we’re defining the way thousands of cannabis brands, distributors, and retailers streamline their operations. With thousands of b"
"1159","levelworks","greenhouse","10","Accountmanager | Accountmanager Transport & Logistiek | Freelance Vlogger | Junior Sales Consultant | Poolmanager & Planner","Ben jij klaar voor een start van jouw carrière in de wereld van arbeidsbemiddeling? Bij Level.works start je als Recruiter en word je dé matchmaker tussen talentvolle kandidaten en topwerkgevers in sectoren als openbaar vervoer, logistiek, transport en techniek. Jij hebt oog voor talent, kunt goed schakelen en krijgt energie van het maken van de perfecte match. Wil jij je ontwikkelen in een ambiti"
"1160","lg-household-health-care-malaysia-sdn-bhd","jobstreet","10","Assistant Manager - Sales & Marketing | Assistant Manager - Modern Trade / Key Account | Assistant Manager - B2B Sales | Assistant Manager - Sales & Operations | Executive - E Commerce (SG market)","[Category: Sales / Sales Representatives/Consultants] Key Responsibilities: To work closely with distributor and Modern Trade account to monitor on the brand activity and sales turnover for company household & beauty brands. To plan for marketing initiatives to promote the brand, to create awareness and to create household brand name not only limited to the trade market, also on the ecommerce busi"
"1161","lifework-recruitment-agency-sdn-bhd","jobstreet","10","Junior Buyer | Manufacturing and Product Safety Test Engineer | HR Internship | Sales Coordinator | Warehouse Supervisor","[Category: Accounting / Financial Accounting & Reporting] Must be Chinese speaking due to constant dealings with counterparts that has communication barrier. Job Description: Handle fixed assets management (Include FA registration, written off, disposal and transfer). Prepare month end fixed assets closing analysis and reports. Involve in fixed assets sighting and assets tagging. Monthly update, v"
"1162","lineage","linkedin","10","Traffic Clerk at Guard Shack | 1st and 2nd Shift High Reach Forklift - Lancaster Tx | Warehouse Supervisor | Lineage Supervisor Management Program | Class A Driver- TWIC CARD/Port Experience","Supervise the operations and responsibilities of the warehouse team and designated facility. Work with Operations leadership to make certain company and customer standards of service, quality, safety, and productivity are met. Key Duties And Responsibilities Supervise, train, provide performance feedback and assign duties of direct reports to ensure productivity, efficiency, and effectivenessManag"
"1163","lockton","linkedin","10","PRS Account Executive | Account Executive-Employee Benefits | Account Executive | Health Risk Solutions Consultant | Director- Strategic Operations","Your Responsibilities Lockton is excited to announce we are seeking an Account Executive working with our National Accounts Property team. The Account Executive is responsible for all marketing and service needs for a designated book of Lockton property clients. These clients are significant to the office and tend to demand a high degree of complexity and/or sophistication in terms of coverage or "
"1164","luxoft","linkedin","10","Climate Solutions Consultant | Project Manager | Senior Network Project Manager | Senior Infrastructure Project Manager | Senior Automation Test Engineer","Project Description: The client is a leading provider of a new era of audio entertainment and services by delivering the most compelling subscription and ad-supported audio entertainment experience for listeners - in the car, at home, and anywhere on the go with connected devices. The vision is to shape the future of audio, where everyone can be effortlessly connected to the voices, stories, and m"
"1165","maesa","greenhouse","10","Account Manager, Grocery/Food | Associate Manager, Customer Strategy & Insights | Customer Strategy Co-op | Design Engineer Co-Op | Field Sales Co-op","#MaesaMagic &nbsp; The next gen beauty company, Maesa is transforming the industry by incubating and growing meaningful, innovative brands and making prestige beauty accessible. Maesa believes beauty ignites inspiration, creativity, imagination, and connection, sparking new ideas and possibilities, and meeting unmet consumer needs. Through best-in-class design, formulation, brand creation and mark"
"1166","magical","ashby","10","Healthcare Account Executive, Full Cycle | AI Forward Deployed Engineer | Senior Software Engineer, Product | Senior Software Engineer, Agent Platform | AI Deployment Strategist","Senior Product Designer Location: Toronto Work model: Hybrid (2 days/week in office) Reports to: Head of Product Why you'll love this Trailblazing: We’re building a product that hasn’t existed before. Real, production-grade AI agents you can actually see think and work in real time. It’s ambiguous, occasionally scary, and incredibly rewarding. Collaboration: We work shoulder-to-shoulder with PMs a"
"1167","magna-international","linkedin","10","Facilities Maintenance Coordinator | Chemist- Polyurethane Foam | Stamping Maintenance Technician | Radar Signal Processing Engineer | Journeyman Industrial Electrician","Job Number: 66145 Group: Cosma Division: Magna Structures Tennessee Job Type: Jr. Weld Engineer Location: Lawrenceburg, Tennessee About Us We see a future where everyone can live and move without limitations. That’s why we are developing technologies, systems and concepts that make vehicles safer and cleaner, while serving our communities, the planet and, above all, people. Forward. For all. Group"
"1168","maincode","ashby","10","AI Research Resident | AI Infrastructure Engineer | AI Software Engineer (Back End) | AI Software Engineer (Model Training) | AI Software Engineer (Front End)","About the role Maincode is building the next version of Matilda, the first large language model built and trained from scratch in Australia. We are now scaling the model and deploying it as a live production system. To do that, we build AI systems from first principles. We design the architectures, run the infrastructure, shape the training process, and operate the systems that serve our models. M"
"1169","mak-technologies-llc","linkedin","10","Sr. SAP S/4 Hana Customer Service Consultant | IT Project Manager with Global tax rules | SAP S4 HANA Project Manager with IBP Resource | SAP resource with Public cloud | SAP S/4 HANA Public Cloud","SAP SD/CS with FSM (Field Service Management) consultantLocation: RemoteDuration: 6 monthsRate/Hr on c2c(All Inc) Job Description: Techno-Functional SAP FSM experience. Client is implementing SAP Field Service Management with S4 HANA.Consultant should have SAP SD/CS module experience and MUST have done at least one project for SAP Field Service Management in S4 HANA environment.Must have experienc"
"1170","mamamoney","lever","10","Area Manager (CPT.) | Customer Success Consultant (CPT) | Data Engineer | Financial Accountant | Future Opportunities at Mama Money","Who we are: Mama Money is a growth-stage fintech on a mission to improve the financial lives of migrants and underserved communities across Africa and beyond. What started in 2015 as a cross-border payments service has grown into a multi-product financial platform. We give people the tools to send, save, and manage money — on their own terms, at a socially fair price. Mama HQ is in beautiful Cape "
"1171","market-street","linkedin","10","Dining Room Attendant (3-10P) | Maintenance (5-10P) | Stocker ***open availability*** | Checker (11am-8pm) | Bakery Clerk","Summary: Key Requirements: Bakery Clerks are first and foremost responsible to our guests, building a reputation for Ultimate Service, with a focus on educating guests about products and services; and for effective selling and presentation of products to differentiate the store experience from any other supermarket. When a guest enters my area or department, my first and most important responsibil"
"1172","masabi","ashby","10","Executive Business Partner (Part-Time) | Engineering Manager (FTC) | Customer Technical Support Engineer | Marketing Manager (FTC) | Customer Technical Support Engineer (FTC) - French Speaker","About Us_ // At Masabi, we’re driving the fare payment revolution, powering the journeys of millions all over the world. We build fare collection platforms that allow riders to seamlessly buy and present tickets for public transport either on their mobile phones, from a ticket machine, or even by tapping their bank card to travel. Our Justride platform is used in over 250 locations globally, inclu"
"1173","massarcapital","greenhouse","10","Accountant | Compliance Analyst | C++ Software Engineer | Data Engineer | Metals Analyst","FIRM OVERVIEW Massar Capital Management, LP (“Massar”) is an alternative investment management company founded in 2015. We employ a global macro trading strategy that seeks to capture investment opportunities across commodity, foreign exchange, fixed income, equity, and derivatives markets. With offices in the United States and Europe, Massar prides itself on its dynamic, entrepreneurial culture. "
"1174","mauser-packaging-solutions","linkedin","10","33001P - Quality Technician | Maintenance Mechanic - HVAC | Shift Lead | Customer Service Representative | Territory Sales Manager","About Us Do you want to work with people who are dedicated to innovation and making the world a better place? Do you want to build a career with a company that provides opportunities for growth and development? Mauser Packaging Solutions is that company. Our mission is to help our customers achieve better sustainability with their packaging. And we do that by giving our people the opportunity to d"
"1175","mbsb-bank-berhadc","jobstreet","10","Vice President, Corporate Credit Administration | Regional Operations Executive | Finance Manager (IT), Technology Division | Senior Relationship Manager, Corporate Banking (Hunter) | Head of Business Analyst, Technology Application","[Category: Banking & Financial Services / Banking - Retail/Branch] OPERATIONS To ensure compliance and conversant with the internal procedures and guidelines of the Bank, statutory requirements by BNM and other requirement by relevant regulatory bodies. Handling and ensure completeness of opening of account, issuance of Debit Card and application for online banking i.e. application form and other "
"1176","mcaconnect","lever","10","Client Success Executive (Microsoft Business Applications) | CX Transformation Principal | D365 CE Functional Consultant | D365 F&O Solution Architect - Distribution | D365 F&SC Senior WMS/SCM Consultant","Through passion and deep industry expertise, MCA Connect helps manufacturers succeed by unlocking innovation with actionable business insights. Our strategic solutions, innovation, and industry intelligence help manufacturers gain visibility, improve profitability, and achieve a competitive edge. Established in 2002, MCA Connect has grown into one of the largest US-based solution partners in Micro"
"1177","melotech","ashby","10","AI/ML Engineer Intern | Full-Stack Developer, Music & Audio | Full-Stack Developer Intern, Music & Audio | Data Science Intern, Music & Audio | Data Science, Music & Audio","Who we are Melotech is revolutionizing media and entertainment. We create art through technology for humans to enjoy. In just 24 months, our work has been heard, watched and loved for over 3 billion minutes worldwide. Founded by entrepreneur and investor Soheil Mirpour, we are backed by top VCs Cherry Ventures, Speedinvest and GFC, alongside world-class angels from firms such as Spotify, Blackston"
"1178","memoryblue","greenhouse","10","Client Account Executive | Commercial Sales Development Representative (Immediate Start) | Enterprise Development Representative | High-Tech Inside Sales Development Representative (May 2026 Grads) | High-Tech Sales Development Representative (December 2025 & May 2026 Grads)","Working at memoryBlue will accelerate your professional growth and place you on the path to success early in your sales career. Whether you’re aiming to jump-start a high-tech sales career in Silicon Valley or help us haul in the next crop of talented sales development professionals in our DC Metro Headquarters, we have immediate job openings in all of our offices from coast-to-coast. Client Accou"
"1179","mend-io","ashby","10","Principal Software Engineer | Agentic Code Analysis Engineer | Senior Java Developer-Core team | Senior Back End Developer- Repo team | Senior Product Marketing Manager","Why Mend.io We are redefining how modern organizations secure software from open source and custom code to AI-generated components. As the creators of the first AI Native AppSec Platform, we help global enterprises stay safe, fast, and compliant in an era of AI-driven development. Our platform combines intelligent automation, deep risk visibility, and developer-first experiences, shaping the futur"
"1180","meng-kah-auto-parts-trading-sdn-bhd","jobstreet","10","Finance Executive | Account Executive | Product Marketing Executive | Mechanic (Retail Shop) | Product Development Executive","[Category: Marketing & Communications / Digital & Search Marketing] Job Description: a) SALES Develop, implement, and monitor monthly e-commerce promotional campaigns with the goal of increasing sales. Evaluate the performance of various product and marketing campaigns to enhance future campaign planning. Utilize analytics to track sales trends and identify opportunities for growth. b) DIGITAL MAR"
"1181","mezzettacareers","greenhouse","10","Associate Digital Marketing Manager | Associate Food Technologist | Brand Manager - Pasta Sauce | Brand Manager - Peppers & Olives | Business Intelligence Manager","About Us: Since 1935, we’ve been on a mission to bring a little extra happiness to everyday life and inspire connections over food. We select the finest ingredients the world has to offer, craft premium products made with love, and never settle for shortcuts. We believe that when we share our food, we share a part of ourselves —&nbsp;and that’s the only way we’d put our name on it.&nbsp; Today, ou"
"1182","micare-sdn-bhd","jobstreet","10","Mobile Application Developer (Flutter) | .Net Application Developer (SQL Database) | Clerk, Claims (Contract Renewable- Hybrid) | Customer Service Executive | Client Servicing Executive (Account Management)","[Category: Call Centre & Customer Service / Customer Service - Call Centre] WHO ARE WE? MiCare, you join a team of caring, dynamic, courageous and dependable individuals who are working together to make healthcare more accessible in Asia. What We Offer? Attractive Salary Great Bonus Free Parking Accommodations Career Growth What You Will Be Accountable For Assess the Admission / Discharge / Outpat"
"1183","mill","greenhouse","10","AI Engineer, Computer Vision | Engineering Manager, Data Integrations | Hardware Systems Engineering Intern, Summer 2026 | Intrigued? Apply here to get into our system! | Lead Hardware Systems Engineer","Mill is a waste prevention technology company reimagining what it means to eliminate waste, starting with food. We build smart systems and infrastructure for homes, businesses, and municipalities that transform food scraps from landfill-bound waste into valuable resources, including chicken feed. Tens of thousands of Mill’s residential food recyclers are already helping households divert millions "
"1184","mindpeak","ashby","10","VP Product – AI for Precision Medicine | (Senior) Full-stack Developer - Backend Focus (Python) | Senior Medical Project Manager (m/f/d) | AI driven Senior Backend Developer Python (m/f/d) | Senior Backend Developer Python (m/f/d)","The Role We are looking for a high-energy, execution leader with strong medical domain expertise to join our leadership team as Chief of Staff , reporting directly to the Founder & CEO. This is not a traditional ""administrative"" Chief of Staff role. It is a high-impact, strategic, and operational position designed for someone who can act as the CEO’s right hand and ""force multiplier."" You will bri"
"1185","mitraland-group","jobstreet","10","Sales Admin Executive | Senior Finance Executive | Credit Admin Executive | Social Media Strategist & Marketing Associate | M&E Coordinator (Contract)","[Category: Construction / Surveying] Responsibilities: Assist in pre and post-contract management such as preparation of tender documents, tender analysis, bill of quantities, procurement and award of contract works, negotiation, and contract administration. Monitor and liaise with consultants on the tendering process and contractual claim. Assist in cost control, procurement award, evaluation of "
"1186","mitsubishimotorsna","greenhouse","10","Accounts Payable & Payroll Manager | ADR & Customer Connections Administrative Assistant | Dealer Development Specialist | District Aftersales Manager | District Sales Manager","Join the Mitsubishi Motors North America (MMNA) Team! &nbsp;&nbsp; At Mitsubishi Motors NA, we are driving innovation, quality, and excellence in the automotive industry. Our commitment to delivering cutting-edge vehicles goes hand in hand with our dedication to fostering a dynamic and inclusive work environment.&nbsp;&nbsp; &nbsp;&nbsp; Our team members are the driving force behind our success, a"
"1187","modern-technology-solutions-inc-mtsi","linkedin","10","F35 Joint Program Office Program Director | Senior Program Manager | Senior Engineer | F35 Joint Program Office Senior Project Manager | Sr. Systems Engineer","Modern Technology Solutions, Inc. (MTSI) is seeking a Senior Engineer in Falls Church, VA to lead the planning and execution of complex mission and systems analysis efforts to support the Office of the Undersecretary of Defense for Research and Engineering (OUSD(R&E) Assistant Secretary of Defense for Mission Capabilities (ASD(MC)) and the Deputy Assistant Secretary of Defense for Multi-Domain Joi"
"1188","move2usajobs-com-inc","jobstreet","10","Technical Support Specialist - USA Visa Sponsorship Jobs | IT Analyst General - USA visa sponsorship jobs #QL994561 | Staff Security Engineer - USA Visa Sponsorship Jobs | Technical Project Manager - USA Visa Sponsorship Jobs | Systems Engineer (Network Enablement) - USA Visa Sponsorship Jobs","[Category: Administration & Office Support / Administrative Assistants] Full Time: Yes Number of Workers Requested: 4 Job Duties: REGISTER AND ASIGN ROOMS AND KEYS TO GUEST. MAKE, CONFIRM AND TRACK ROOM RESREVATIONS USING DATA PROCESSING SOFTWARE. CALCULATE ACCOUNTS AND STATEMENTS, AND PROCESS PAYMENTS. TAKE MESSAGES. CONTACT APPROPRIATE DEPARTMENT WHEN GUESTS HAVE REQUESTS OR PROBLEMS. 3 MONTHS E"
"1189","moxfive","ashby","10","Project Manager (Incident Response) | Sr. Technical Project Manager | Contract Bench, Incident Responder (DFIR) | Technical Advisor | Senior Consultant, DFIR (Wed-Sun)","Who You Are You’re the first person people call in a emergency. You see beyond the initial crisis transforming cybersecurity incidents into opportunities for meaningful action. Complex scenarios energize you, and your superpower is simplifying technical intricacies into clear strategies that everyone, from IT teams to Fortune 1000 executives, can understand and trust. You don't think mimikatz is t"
"1190","moxxidigital","greenhouse","10","Account Manager | Account Specialist | Full Stack Engineer, Backend | Junior Campaign Specialist | Junior Operations Specialist","Who We Are &nbsp; At Moxxi, we’re redefining performance marketing with cutting-edge technology and a relentless focus on results. As a profitable, bootstrapped start-up, we are led by a team of industry veterans in performance marketing, ad tech, and digital publishing. Together, we’re building the premier platform to incubate, scale, and optimize digitally born businesses, setting new standards "
"1191","mr-d-i-y-trading-sdn-bhd","jobstreet","10","IT (Store Support) Officer | Procurement Executive | Area Sales Manager - Power Tools (EMTOP) | Administrative Assistant | Procurement Executive (Bukit Mertajam)","[Category: Manufacturing, Transport & Logistics / Quality Assurance & Control] Job Description Understand the local HS codes and import regulations of each country and ensure compliance before initiate any shipment. Knowledge/Understanding of European Union (EU/UK) Tariff Schedules (preferred but not compulsory) Coordinate with 3rd party Consultant to review packaging design brief from suppliers a"
"1192","mulliganfunding","lever","10","Commercial Underwriter II | Credit Analyst I | Credit Analyst II | Director, Treasury & Capital Markets | Partner Relationship Representative","Headquartered in San Diego, Mulligan Funding serves as a leading provider of working capital (Up to $5M) to the small and medium-sized businesses that fuel our country. Since 2008, we have prided ourselves on our collaborative, innovative, and customer-focused approach. Enjoying a period of unprecedented growth, driven by the combination of cutting-edge technology, human touch, and unwavering inte"
"1193","munchworld-marketing-sdn-bhd","jobstreet","10","Organizational Development, Assistant Manager | Payroll Specialist | IT Intern (Technical Support) | Corporate Communication Intern | Customer Support, Senior Executive","[Category: Accounting / Financial Accounting & Reporting] Job Purpose: Responsible for all aspects of financial and corporate governance of URC Batu Pahat and Pasir Gudang plant including management reporting, financial account and compliance with statutory audit, direct & indirect tax requirements. Responsibilities: Responsible for all aspects of finance and accounting for the business, including"
"1194","mystenlabs","ashby","10","Senior Software Engineer, TypeScript SDK | Technical Program Manager | Senior Frontend Engineer (Slush Wallet) | DeFi Engineer | Sr. Growth Marketing Manager, Slush Wallet","Mysten Labs believes that decentralized and open protocols are the bedrock of the internet of value. This is why at Mysten Labs, we are creating foundational infrastructure to accelerate the adoption of decentralized protocols based on blockchain technologies. We are seeking a self starter with dynamic DeFi experience and markets understanding to play a pivotal role in defining, designing, and imp"
"1195","nalco-water-an-ecolab-company","linkedin","10","Field Technician | Corporate Account Manager | Production Planning Manager | Finance Administrative Specialist | Technical Sales Representative","Nalco Water, an Ecolab company, is looking for a Site Manager - Wastewater to join our industry leading Nalco Water team. If you are a passionate technical professional that enjoys interacting with customers and likes to work in an autonomous, hands-on environment, we invite you to apply! You will be joining a talented team that monitors the operations of the wastewater facility at an automotive m"
"1196","nestl","linkedin","10","Senior Analyst, Supply Chain Analytics | Bulk Product Handler | Production Support Specialist - 3rd Shift | Customer Account Manager (Ahold Delhaize) | Palletizer Operator","Foods people love. Brands people trust. And a career that nourishes your future like no other. If you're driven by the passion to do something meaningful that changes lives, Nestlé is the place for you. Nestlé USA is one of seven operating companies that make up Nestlé’s presence in the United States. We're in 97% of American homes, and as the leading food and beverage company, our goals are to co"
"1197","netboxlabs","ashby","10","Deal Desk and Pricing Lead | Associate General Counsel | Senior DevOps Engineer, Cloud Delivery | Head of Sales, EMEA | Vice President, People","About NetBox Labs NetBox Labs is building the future of infrastructure networking and open-source innovation. As the commercial steward of NetBox, the leading open-source network source of truth, we help organizations scale, secure, and automate their infrastructure. Our team is rapidly growing, and we’re looking for a proven sales leader to drive revenue growth across the EMEA region. Role Overvi"
"1198","netflix","linkedin","10","ML Engineer L5, LLM Application Frameworks, Machine Learning Platform | iOS Software Engineer 4 - Consumer Engineering | Technical Program Manager 6 - Game SDK and Services | Technical Program Manager L6 - Cloud Games | Senior Content Designer, Core","CONTENT DESIGN LEAD, CORE XD LG, LA or remote Netflix is building the world’s leading entertainment service, offering great shows, movies and games that push the boundaries of storytelling and delight members around the world. We’re seeking an experienced Content Designer to partner with the Core XD team on the systems, patterns and standards that help us build best-in-class products consistently "
"1199","netjets","linkedin","10","Data Governance Enablement Manager, Lead (NJUS) | UX Researcher, Associate (NJUS) | Service Hub Material Coordinator (NJUS) | Service Desk Analyst, Associate (NJUS) | RTS Specialist (NJUS)","Purpose of PositionThe primary role of this position is to administer all Crew Leaves of Absence and Worker's Compensation for all of NetJets' employee population (Union & Non-Union). LOA's include: medical, FMLA, STD, LTD and Bereavement. This position will coordinate all LOA's and any Worker's Compensation payments with the Payroll Dept as well as Department Managers and Flight Operations when n"
"1200","nfq","lever","10","AI Solutions Account Executive (Transport & Logistics Industry) | Email Marketing Strategist | Head of Engineering | Is NFQ the perfect fit for you? Let us know. Do it your own way with NFQ! | Sales Manager","We build the tech that moves industries forward. We have our eyes set on AI, energy, logistics, sports and other complex and exciting segments. We believe in an innovative approach to solving deep issues and encourage our people to find their own solutions. We are constantly rethinking processes, business models, architecture, and tech stacks. We foster a sense of curiosity, experimentation, and p"
"1201","nippon-paint-m-sdn-bhd","jobstreet","10","Sr. Executive - HR & Admin (Based in Tanjung Langsat, Pasir Gudang) | UI/UX Designer | Lab Technician / Lab Assistant | HR Assistant | Senior Executive - Quality, Environment & OSH Management","[Category: Human Resources & Recruitment / Organisational Development] Join our dynamic team at Nippon Paint, a leading organisation committed to fostering growth, innovation, and inclusivity. The Role: In Nippon Paint, we innovate with heart and people at our core. Our people agenda is to provide positive employee experience (+EX) to our potential and existing employees. We pride ourselves on cre"
"1202","novo","ashby","10","Senior Analytics - Strategy and Analytics | Escalations Support Specialist | Senior KYC Analyst | Principal Engineer | Payments Program Manager","About Us : Small businesses are the backbone of the US economy, comprising almost half of the GDP and the private workforce. Yet, big banks don’t provide the access, assistance and modern tools that owners need to successfully grow their business. We started Novo to challenge the status quo—we’re on a mission to increase the GDP of the modern entrepreneur by creating the go-to banking platform for"
"1203","numeric","ashby","10","Account Executive | Software Engineer, Product | Senior Product Designer | Head of Outbound | Business Development Representative (BDR) - SF","Why Numeric Every business relies on accounting. Yet most software in the space was built in the early 2000s — clunky, slow, and far behind the curve on AI. Today, accountants are facing a growing, unsolved data problem as a consequence of complexity, data, and system fragmentation — and they lack the tools to solve it. The problems are real, hard, and increasingly urgent. But they’re solvable. En"
"1204","numotion","linkedin","10","Home Access Laborer | Service Technician | Home Access Construction Foreman | Wheelchair/Scooter Technician | Seating Technician","Service and Repair --> Service Technicians Waco, TX ID: 12859-128 Full-Time/Regular Why Numotion? By joining Numotion, you will be a part of the nation’s leading provider of Complex Rehabilitation Technology. Numotion is helping thousands of people with individually configured, medically necessary mobility products and services. From manual and powered wheelchairs to disposable medical supplies th"
